Date,BW Pull Ups s,BW Pull Ups r,BW Pull Ups w,Bench s,Bench r,Bench w,Curling Bar Squats s,Curling Bar Squats r,Curling Bar Squats w,Curls s,Curls r,Curls w,BW Wall Sits s,BW Wall Sits r,BW Wall Sits w,BW In Outs s,BW In Outs r,BW In Outs w,Military Press s,Military Press r,Military Press w,One Handed Curls Each Side s,One Handed Curls Each Side r,One Handed Curls Each Side w,Runs s,Runs r,Runs w,BW Push Ups s,BW Push Ups r,BW Push Ups w,Clean s,Clean r,Clean w,Bench Incline s,Bench Incline r,Bench Incline w,One Arm Dumbell Row s,One Arm Dumbell Row r,One Arm Dumbell Row w,Bent Over Barbell Row s,Bent Over Barbell Row r,Bent Over Barbell Row w,One Arm One Side Curls Each Side s,One Arm One Side Curls Each Side r,One Arm One Side Curls Each Side w,BW Perfect Push Ups s,BW Perfect Push Ups r,BW Perfect Push Ups w,Sqauts in Rack s,Sqauts in Rack r,Sqauts in Rack w,Lat Pull Downs s,Lat Pull Downs r,Lat Pull Downs w,BW One Legged Squats s,BW One Legged Squats r,BW One Legged Squats w
6/12/2015,4,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:18,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,20,4,10,75,,,,,,,,,,,,,,,
6/16/2015,,,,2,8,125,4,10,85,,,,,,,,,,,,,,,,,,,,,,2,5,75,,,,4,10,30,4,10,85,,,,,,,,,,,,,,,
6/17/2015,,,,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,1,5,75,,,,4,10,30,4,10,85,,,,,,,,,,,,,,,
6/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:38:09,3.92,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2015,6,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:20:01,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2015,,,,1,15,75,,,,2,10,65,,,,,,,,,,,,,0:19:37,2.2,160,,,,,,,,,,,,,4,10,85,1,10,15,,,,,,,,,,,,
6/29/2015,3,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:21:16,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,0:20:33,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:20:01,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2015,,,,2,6,125,,,,4,6,65,,,,,,,,,,,,,0:20:29,2.2,160,,,,,,,,,,,,,4,6,105,,,,,,,,,,,,,,,
7/6/2015,1,8,160,,,,,,,,,,,,,,,,,,,,,,0:20:44,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:20:39,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:20:35,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2015,2,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:34,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:06,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2015,1,10,160,4,8,125,,,,2,8,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,85,,,,,,,,,,,,,,,
7/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:38:45,3.48,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:20:01,2.2,160,,,,,,,,,,,,,,,,,,,2,25,160,,,,,,,,,
7/21/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,0:19:54,2.2,160,,,,,,,,,,,,,,,,,,,1,25,160,,,,,,,,,
7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:21:53,2.2,160,,,,,,,,,,,,,,,,,,,1,25,160,,,,,,,,,
7/24/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,0:20:07,2.2,160,,,,,,,,,,,,,,,,,,,1,25,160,,,,,,,,,
7/26/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:21:19,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:07,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:12,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2015,,,,2,8,125,,,,4,8,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,65,,,,,,,,,,,,,,,
